date,week,car_name,price,engine,seater,
2023.8.30,수,ALL NEW K3 ,"42,000원",가솔린 ,5,
2023.8.30,수,모닝 어반 ,"44,000원",가솔린 ,5,
2023.8.30,수,더 뉴 K3 ,"45,500원",가솔린 ,5,
2023.8.30,수,쏘울 부스터 ,"45,500원",가솔린 ,5,
2023.8.30,수,올 뉴 아반떼 ,"45,500원",가솔린 ,5,
2023.8.30,수,INTERACTIVE K5 ,"48,000원",LPG ,5,
2023.8.30,수,쏘나타 DN8 ,"48,000원",LPG ,5,
2023.8.30,수,더 뉴 코나 4WD ,"49,000원",가솔린 ,5,
2023.8.30,수,코나 ,"49,000원",가솔린 ,5,
2023.8.30,수,INTERACTIVE K5 ,"51,000원",가솔린 ,5,
2023.8.30,수,쏘나타 DN8 ,"51,000원",가솔린 ,5,
2023.8.30,수,XM3 1.4 ,"52,500원",가솔린 ,5,
2023.8.30,수,디 올 뉴 코나 4WD ,"52,500원",가솔린 ,5,
2023.8.30,수,베리 뉴 티볼리 에어 ,"52,500원",가솔린 ,5,
2023.8.30,수,셀토스 2WD ,"52,500원",가솔린 ,5,
2023.8.30,수,셀토스 4WD ,"52,500원",디젤 ,5,
2023.8.30,수,셀토스 4WD ,"52,500원",가솔린 ,5,
2023.8.30,수,캐스퍼 ,"55,000원",가솔린 ,4,
2023.8.30,수,코나 ,"56,000원",전기 ,5,
2023.8.30,수,니로 ,"59,500원",전기 ,5,
2023.8.30,수,THE NEW G70 2.0 ,"67,200원",가솔린 ,5,
2023.8.30,수,G70 SHOOTING BRAKE ,"69,000원",가솔린 ,5,
2023.8.30,수,토레스 4WD ,"70,000원",가솔린 ,5,
2023.8.30,수,K7 PREMIER ,"70,200원",가솔린 ,5,
2023.8.30,수,더 뉴 그랜저 2.5 ,"70,200원",가솔린 ,5,
2023.8.30,수,더 마스터 쏘렌토 4WD  ,"73,500원",디젤 ,7,
2023.8.30,수,싼타페 TM 4WD  ,"73,500원",디젤 ,7,
2023.8.30,수,K8 2.5 ,"75,000원",가솔린 ,5,
2023.8.30,수,EV6 4WD ,"77,000원",전기 ,5,
2023.8.30,수,더 뉴 싼타페 4WD ,"77,000원",디젤 ,7,
2023.8.30,수,쏘렌토 MQ4 4WD ,"77,000원",디젤 ,7,
2023.8.30,수,아이오닉 5 4WD ,"77,000원",전기 ,5,
2023.8.30,수,All New G80 2.5 ,"90,000원",가솔린 ,5,
2023.8.30,수,제네시스 G80 3.3 ,"90,000원",가솔린 ,5,
2023.8.30,수,GV60 4WD ,"98,000원",전기 ,5,
2023.8.30,수,GV70 4WD ,"98,000원",디젤 ,5,
2023.8.30,수,TESLA MODEL 3 ,"99,000원",전기 ,5,
2023.8.30,수,더 뉴 카니발 ,"99,000원",디젤 ,11,
2023.8.30,수,더 뉴 카니발  ,"99,000원",디젤 ,9,
2023.8.30,수,스타리아 ,"103,500원",디젤 ,11,
2023.8.30,수,카니발 KA4 ,"103,500원",디젤 ,9,
2023.8.30,수,GV70 ,"105,000원",전기 ,5,
2023.8.30,수,더 뉴 카니발 리무진 ,"112,500원",디젤 ,7,
2023.8.30,수,THE K9 3.8 ,"114,000원",가솔린 ,5,
2023.8.30,수,팰리세이드 4WD ,"115,500원",디젤 ,8,
2023.8.30,수,카니발 KA4 하이리무진 ,"126,000원",가솔린 ,7,
2023.8.30,수,All New G80 ,"129,000원",전기 ,5,
2023.8.30,수,GV80 4WD ,"140,000원",디젤 ,7,
2023.8.30,수,G90 3.8 ,"147,000원",가솔린 ,5,
2023.8.30,수,쏠라티 ,"302,500원",디젤 ,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
